title,address,access,age,floor,cost,management_fee,deposit,qratuity,layout,size,Area,district,sub_district,都道府県コード,都道府県名,lat,lon
都営大江戸線 築地市場駅 6階建 築25年,東京都中央区築地４,"
都営大江戸線/築地市場駅 歩4分
東京メトロ日比谷線/築地駅 歩5分
都営浅草線/東銀座駅 歩9分
",25,6,27,10000円,27万円,27万円,3SLDK,81,中央区,東京都中央区,築地,13,東京都,35.668796,139.786583
コンフォリア秋葉原ＥＡＳＴ,東京都千代田区東神田２,"
ＪＲ山手線/秋葉原駅 歩8分
ＪＲ総武線快速/馬喰町駅 歩6分
都営新宿線/岩本町駅 歩7分
",8,4,24,10000円,24.9万円,-,2LDK,53,千代田区,東京都千代田区,東神田,13,東京都,35.670812,139.754182
トルナーレ日本橋浜町,東京都中央区日本橋浜町３,"
東京メトロ半蔵門線/水天宮前駅 歩6分
都営新宿線/浜町駅 歩7分
東京メトロ日比谷線/人形町駅 歩8分
",19,4,29,-,29万円,29万円,3LDK,75,中央区,東京都中央区,日本橋浜町,13,東京都,35.668796,139.786583
東京メトロ日比谷線 茅場町駅 10階建 築18年,東京都中央区日本橋茅場町３,"
東京メトロ日比谷線/茅場町駅 歩3分
東京メトロ日比谷線/八丁堀駅 歩4分
ＪＲ山手線/東京駅 歩8分
",18,8,18,10000円,18.3万円,18.3万円,2LDK,55,中央区,東京都中央区,日本橋茅場町,13,東京都,35.668796,139.786583
東京メトロ千代田線 新御茶ノ水駅 14階建 築6年,東京都千代田区神田駿河台３,"
東京メトロ千代田線/新御茶ノ水駅 歩1分
ＪＲ中央線/御茶ノ水駅 歩5分
都営新宿線/小川町駅 歩1分
",6,12,23,12000円,23.4万円,46.8万円,2LDK,50,千代田区,東京都千代田区,神田駿河台,13,東京都,35.670812,139.754182
東京メトロ千代田線 新御茶ノ水駅 14階建 築6年,東京都千代田区神田駿河台３,"
東京メトロ千代田線/新御茶ノ水駅 歩1分
ＪＲ中央線/御茶ノ水駅 歩5分
都営新宿線/小川町駅 歩1分
",6,12,24,12000円,24.3万円,48.6万円,2LDK,50,千代田区,東京都千代田区,神田駿河台,13,東京都,35.670812,139.754182
アーバンパーク代官山II,東京都渋谷区猿楽町,"
東急東横線/代官山駅 歩7分
ＪＲ埼京線/渋谷駅 歩11分
東京メトロ日比谷線/恵比寿駅 歩11分
",18,3,28,10000円,56万円,-,2LDK,54,渋谷区,東京都渋谷区,猿楽町,13,東京都,35.668183,139.709361
都営大江戸線 勝どき駅 地下1地上26階建 築26年,東京都中央区勝どき３,"
都営大江戸線/勝どき駅 歩3分
都営大江戸線/築地市場駅 歩19分
東京メトロ日比谷線/築地駅 歩16分
",26,3,19,20000円,19.9万円,-,2LDK,61,中央区,東京都中央区,勝どき,13,東京都,35.668796,139.786583
都営大江戸線 勝どき駅 地下1地上26階建 築26年,東京都中央区勝どき３,"
都営大江戸線/勝どき駅 歩3分
都営大江戸線/築地市場駅 歩19分
東京メトロ日比谷線/築地駅 歩16分
",26,6,25,10000円,25.4万円,25.4万円,3LDK,69,中央区,東京都中央区,勝どき,13,東京都,35.668796,139.786583
都営大江戸線 勝どき駅 地下1地上26階建 築26年,東京都中央区勝どき３,"
都営大江戸線/勝どき駅 歩3分
都営大江戸線/築地市場駅 歩19分
東京メトロ日比谷線/築地駅 歩16分
",26,9,25,20000円,25.1万円,25.1万円,3LDK,69,中央区,東京都中央区,勝どき,13,東京都,35.668796,139.786583
都営大江戸線 勝どき駅 地下1地上26階建 築26年,東京都中央区勝どき３,"
都営大江戸線/勝どき駅 歩3分
都営大江戸線/築地市場駅 歩19分
東京メトロ日比谷線/築地駅 歩16分
",26,18,25,20000円,25.4万円,25.4万円,3LDK,69,中央区,東京都中央区,勝どき,13,東京都,35.668796,139.786583
KEYAKI PLACE,東京都新宿区早稲田鶴巻町,"
東京メトロ東西線/早稲田駅 歩4分
東京メトロ有楽町線/江戸川橋駅 歩12分
都営大江戸線/牛込柳町駅 歩15分
",11,3,20,15000円,20万円,20万円,2LDK,59,新宿区,東京都新宿区,早稲田鶴巻町,13,東京都,35.69995,139.735037
ジャコワ東日本橋マンション,東京都中央区東日本橋２,"
都営浅草線/東日本橋駅 歩1分
都営新宿線/浜町駅 歩8分
ＪＲ総武線快速/馬喰町駅 歩5分
",41,7,18,-,18.8万円,-,2DK,53,中央区,東京都中央区,東日本橋,13,東京都,35.668796,139.786583
ジャコワ東日本橋マンション,東京都中央区東日本橋２,"
都営浅草線/東日本橋駅 歩1分
都営新宿線/浜町駅 歩8分
ＪＲ総武線快速/馬喰町駅 歩5分
",41,7,19,-,19.5万円,-,2DK,53,中央区,東京都中央区,東日本橋,13,東京都,35.668796,139.786583
ジャコワ東日本橋マンション,東京都中央区東日本橋２,"
都営浅草線/東日本橋駅 歩1分
都営新宿線/浜町駅 歩8分
ＪＲ総武線快速/馬喰町駅 歩5分
",41,7,20,-,20.5万円,-,3DK,64,中央区,東京都中央区,東日本橋,13,東京都,35.668796,139.786583
都営大江戸線 勝どき駅 地下1地上26階建 築23年,東京都中央区勝どき３,"
都営大江戸線/勝どき駅 歩6分
都営大江戸線/築地市場駅 歩18分
東京メトロ日比谷線/築地駅 歩16分
",23,18,26,10000円,26.4万円,26.4万円,3LDK,69,中央区,東京都中央区,勝どき,13,東京都,35.668796,139.786583
